Method,Expiry,Alpha,Rho,Nu,H,RMSE_bps
AMMO_ODE,0.08333333333333333,0.0021411664273512463,0.054152748207530514,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,0.16666666666666666,0.002322111300323108,0.16266640340005936,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,0.25,0.002511267957848518,0.3373524691654927,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,0.5,0.003066773027736198,0.18274241593623025,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,0.75,0.0036783281926473814,0.07246277140191128,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,1.0,0.004305949554913222,0.00608725090078639,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,1.5,0.005002111485999338,-0.06540970351708147,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,2.0,0.005380550691964226,-0.12242368664122366,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,3.0,0.005906508438998896,-0.13583196350345475,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,4.0,0.0062056010739673,-0.1443007128072223,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,5.0,0.006395767498957985,-0.15167216893726457,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,6.0,0.006467760092454933,-0.1548739714829823,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,7.0,0.006508138487877067,-0.1528399884460315,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,8.0,0.006538906223589976,-0.15427276655554156,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,9.0,0.006550670719310179,-0.1549796241274454,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,10.0,0.006503486285545159,-0.15294791569689323,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,12.0,0.006455062980753488,-0.15268593744498768,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,15.0,0.0063179147051493825,-0.14781784685346525,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,20.0,0.006086437028728622,-0.1408608754638723,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,25.0,0.0058842153896256,-0.14447341644342762,0.47438381286137504,0.1,6.374167881545988
AMMO_ODE,30.0,0.005786532849299637,-0.14663740838619632,0.47438381286137504,0.1,6.374167881545988
PURE_MC,0.08333333333333333,0.0018629022486937445,-0.4943455709634665,0.6199067369672308,0.05,14.648397343558525
PURE_MC,0.16666666666666666,0.0019806905556179976,-0.1457947691794348,0.6199067369672308,0.05,14.648397343558525
PURE_MC,0.25,0.002616561685910149,-0.28644737207670157,0.6199067369672308,0.05,14.648397343558525
PURE_MC,0.5,0.0031812612058011417,-0.18928366221149634,0.6199067369672308,0.05,14.648397343558525
PURE_MC,0.75,0.003597688280263967,0.13574520083164598,0.6199067369672308,0.05,14.648397343558525
PURE_MC,1.0,0.004250159374477438,0.013977119729976076,0.6199067369672308,0.05,14.648397343558525
PURE_MC,1.5,0.004596730750608526,0.09763009785980001,0.6199067369672308,0.05,14.648397343558525
PURE_MC,2.0,0.004741767965708955,0.1438293001033573,0.6199067369672308,0.05,14.648397343558525
PURE_MC,3.0,0.0048475262660426,0.2556624733038427,0.6199067369672308,0.05,14.648397343558525
PURE_MC,4.0,0.004929507108775597,0.32331853359976426,0.6199067369672308,0.05,14.648397343558525
PURE_MC,5.0,0.004928265942141312,0.3265637020691165,0.6199067369672308,0.05,14.648397343558525
PURE_MC,6.0,0.004899102724740041,0.32858311180262056,0.6199067369672308,0.05,14.648397343558525
PURE_MC,7.0,0.0048767277138366365,0.3246083593472567,0.6199067369672308,0.05,14.648397343558525
PURE_MC,8.0,0.00484342329226584,0.3428557547982865,0.6199067369672308,0.05,14.648397343558525
PURE_MC,9.0,0.0048466770899293805,0.33246124103030955,0.6199067369672308,0.05,14.648397343558525
PURE_MC,10.0,0.004812088200606931,0.32999619890076903,0.6199067369672308,0.05,14.648397343558525
PURE_MC,12.0,0.00473195995311752,0.33142663388962873,0.6199067369672308,0.05,14.648397343558525
PURE_MC,15.0,0.004644429502488175,0.3325736932446909,0.6199067369672308,0.05,14.648397343558525
PURE_MC,20.0,0.004469829415976575,0.3145728898784448,0.6199067369672308,0.05,14.648397343558525
PURE_MC,25.0,0.0042798623215357014,0.31662378615243825,0.6199067369672308,0.05,14.648397343558525
PURE_MC,30.0,0.004149464047542567,0.3119635376811238,0.6199067369672308,0.05,14.648397343558525
